number,value,params_w_neo4j,params_w_semantique,state
124,0.6581694271911663,0.5525711713360166,0.8227406572300939,COMPLETE
125,0.6555124223602484,0.45274538668119463,0.9318781641385122,COMPLETE
126,0.6555124223602484,0.3888197311846555,0.8922214001739956,COMPLETE
127,0.658531746031746,0.49091408623740224,0.8635098558100337,COMPLETE
128,0.658531746031746,0.4358871392823308,0.747303763405592,COMPLETE
129,0.6555124223602484,0.41268684946248285,0.8446025486709775,COMPLETE
130,0.6581694271911663,0.5277475305998879,0.7837128695081476,COMPLETE
131,0.658531746031746,0.44581131199344304,0.8378115752152432,COMPLETE
132,0.658531746031746,0.4778837671874091,0.8810108336376586,COMPLETE
133,0.658531746031746,0.4641672937562194,0.8073393062563148,COMPLETE
134,0.6007505175983436,0.005065163186494581,0.8635771213102275,COMPLETE
135,0.6555124223602484,0.43281002668453417,0.904328720616222,COMPLETE
136,0.6555124223602484,0.3699296649197559,0.9595353028903509,COMPLETE
137,0.6555124223602484,0.4017852876792053,0.9174421532874181,COMPLETE
138,0.6581694271911663,0.5007472917917565,0.8025691730938382,COMPLETE
139,0.658531746031746,0.4520619989948106,0.8398862346565935,COMPLETE
140,0.6555124223602484,0.41775648972644586,0.8809533776722718,COMPLETE
141,0.658531746031746,0.47763778263342915,0.857932355672183,COMPLETE
142,0.658531746031746,0.4739302091173877,0.8276591797943857,COMPLETE
143,0.658531746031746,0.5128117414353397,0.8875746257786149,COMPLETE
144,0.6555124223602484,0.4414815573026582,0.9210124366765984,COMPLETE
145,0.658531746031746,0.4882241301051138,0.8532092872646583,COMPLETE
146,0.658531746031746,0.5394666037186236,0.9375145810742851,COMPLETE
147,0.6555124223602484,0.3847296880082274,0.9038550680593709,COMPLETE
148,0.658531746031746,0.4559976603150235,0.7789091106728571,COMPLETE
149,0.6555124223602484,0.4196819998949481,0.8771199487707567,COMPLETE
150,0.6581694271911663,0.5098052467753194,0.8397289834844389,COMPLETE
151,0.658531746031746,0.4401815122758293,0.81964576696549,COMPLETE
152,0.658531746031746,0.4655949401301906,0.8123499114993002,COMPLETE
153,0.6591356107660455,0.40462461933059846,0.7916969811835876,COMPLETE
154,0.658531746031746,0.4203986965440993,0.7982416480680288,COMPLETE
155,0.658531746031746,0.3986584274293371,0.7615615073629545,COMPLETE
156,0.6581694271911663,0.49177163923297645,0.0290375343006537,COMPLETE
157,0.658531746031746,0.46132559217253855,0.8682197562545614,COMPLETE
158,0.6555124223602484,0.3612499219917905,0.8916772758325904,COMPLETE
159,0.6555124223602484,0.4324984083157561,0.8520670019373131,COMPLETE
160,0.6555124223602484,0.3894870878543902,0.8298255188424668,COMPLETE
161,0.658531746031746,0.44524214351631536,0.8194502939102217,COMPLETE
162,0.6581694271911663,0.47990572408410626,0.7866768099959531,COMPLETE
163,0.6555124223602484,0.4095577461716831,0.8695642131941459,COMPLETE
164,0.658531746031746,0.4532162519338897,0.8420365447016293,COMPLETE
165,0.658531746031746,0.4240640139109775,0.7322657156247485,COMPLETE
166,0.658531746031746,0.485711162202283,0.895767456424861,COMPLETE
167,0.658531746031746,0.44124102815036903,0.794174655061557,COMPLETE
168,0.658531746031746,0.4698492404124314,0.8593492936049671,COMPLETE
169,0.6555124223602484,0.4024425932824132,0.9176697169756969,COMPLETE
170,0.6581694271911663,0.5249566489151986,0.8185523465950473,COMPLETE
171,0.658531746031746,0.5099094257359656,0.9388878875755242,COMPLETE
172,0.658531746031746,0.49685394944069594,0.8796012518306087,COMPLETE
173,0.6555124223602484,0.4604638149190321,0.9108223729813594,COMPLETE
174,0.6555124223602484,0.4309124722327935,0.9594777081703175,COMPLETE
175,0.6581694271911663,0.5735592785934038,0.8406863466270583,COMPLETE
176,0.6225414078674949,0.04896444053982718,0.8783698229659729,COMPLETE
177,0.6591356107660455,0.48005666168186434,0.932807288111632,COMPLETE
178,0.6581694271911663,0.47446015071728004,0.7648925022409162,COMPLETE
179,0.6555124223602484,0.44417122424414907,0.9004188392525575,COMPLETE
180,0.6555124223602484,0.41188880949005746,0.8621333687465801,COMPLETE
181,0.6555124223602484,0.45554897019501805,0.9344076038727679,COMPLETE
182,0.658531746031746,0.5062722935254054,0.9226014039571453,COMPLETE
183,0.6555124223602484,0.48299789906680685,0.9651197553463643,COMPLETE
184,0.6581694271911663,0.5461819464140394,0.8935269821202986,COMPLETE
185,0.658531746031746,0.43583997511597933,0.8283873076987461,COMPLETE
186,0.6581694271911663,0.520425473297605,0.8528990909780517,COMPLETE
187,0.6555124223602484,0.4676267735338674,0.9405688682330737,COMPLETE
188,0.6555124223602484,0.4927318846988769,0.9861185775620677,COMPLETE
189,0.658531746031746,0.42087149440812693,0.8061146434950319,COMPLETE
190,0.6555124223602484,0.39275063392293547,0.8778568030940147,COMPLETE
191,0.658531746031746,0.45619779111868675,0.8319017344319362,COMPLETE
192,0.658531746031746,0.4511063100010755,0.8524244897136665,COMPLETE
193,0.658531746031746,0.46672167845463325,0.811523269523562,COMPLETE
194,0.6555124223602484,0.42734549028727525,0.9100438021408019,COMPLETE
195,0.6581694271911663,0.4917725291501357,0.3256329720988957,COMPLETE
196,0.658531746031746,0.4423857791606689,0.8413809137377293,COMPLETE
197,0.658531746031746,0.47673100891225634,0.8718164707172421,COMPLETE
198,0.658531746031746,0.4087301542835386,0.7787506741114965,COMPLETE
199,0.6555124223602484,0.3840305407634131,0.8815764710605936,COMPLETE
200,0.6581694271911663,0.5142010743153489,0.8512427916441444,COMPLETE
201,0.658531746031746,0.5006276786819018,0.9622143152295947,COMPLETE
202,0.6555124223602484,0.4568105254249994,0.9521390434333551,COMPLETE
203,0.658531746031746,0.48084041059321775,0.9021449255089027,COMPLETE
204,0.658531746031746,0.5388406635709254,0.9194799199998711,COMPLETE
205,0.6591356107660455,0.42341925925156243,0.8257902140408891,COMPLETE
206,0.658531746031746,0.42793297696644744,0.8198199685349024,COMPLETE
207,0.658531746031746,0.4384899212892373,0.7916723684232041,COMPLETE
208,0.6555124223602484,0.4152738717565037,0.842885707206778,COMPLETE
209,0.658531746031746,0.4596859526896731,0.8687379591175868,COMPLETE
210,0.658531746031746,0.43954505841453195,0.8251304513823917,COMPLETE
211,0.6581694271911663,0.4723797733577355,0.48540689977829327,COMPLETE
212,0.658531746031746,0.48955205654846123,0.8935031776574034,COMPLETE
213,0.658531746031746,0.4536016107508817,0.8579987036612056,COMPLETE
214,0.658531746031746,0.5098358238977612,0.9238959794335468,COMPLETE
215,0.6591356107660455,0.41256804948124726,0.8062038698571827,COMPLETE
216,0.6555124223602484,0.37806545193210955,0.796392291938584,COMPLETE
217,0.658531746031746,0.40218906495207546,0.7497846030354876,COMPLETE
218,0.6555124223602484,0.42281574893759244,0.8350101365762398,COMPLETE
219,0.658531746031746,0.43514904634332574,0.806509910230269,COMPLETE
220,0.658531746031746,0.4083103135517778,0.7760383249270668,COMPLETE
221,0.658531746031746,0.4683028713880117,0.871010814360609,COMPLETE
222,0.658531746031746,0.44969782885600795,0.8375814513126775,COMPLETE
223,0.658531746031746,0.4758179871400228,0.8867995896051907,COMPLETE
224,0.658531746031746,0.4248324508295976,0.8159346582142577,COMPLETE
225,0.658531746031746,0.498076212277775,0.8597819490009906,COMPLETE
226,0.6555124223602484,0.45171042579627224,0.9467499626777386,COMPLETE
227,0.6555124223602484,0.43582585822846764,0.9795788224037697,COMPLETE
228,0.6555124223602484,0.3955829776028377,0.9038781744167853,COMPLETE
229,0.658531746031746,0.4670881693663194,0.8460332898948854,COMPLETE
230,0.6581694271911663,0.48629028096209137,0.8250860702548266,COMPLETE
231,0.658531746031746,0.48674812796082956,0.8830895876657289,COMPLETE
232,0.6581694271911663,0.5249088697862612,0.8677877884046511,COMPLETE
233,0.658531746031746,0.4527141512940069,0.8496599605936995,COMPLETE
234,0.658531746031746,0.46929277525917656,0.8079774833105887,COMPLETE
235,0.6555124223602484,0.4191567576956015,0.9330127687123524,COMPLETE
236,0.658531746031746,0.5040886605572945,0.8637732865193404,COMPLETE
237,0.658531746031746,0.4452251445766119,0.8379115617802896,COMPLETE
238,0.6555124223602484,0.431233253433535,0.8912436562206999,COMPLETE
239,0.658531746031746,0.4794327159648296,0.909330162026394,COMPLETE
240,0.658531746031746,0.4604368926804393,0.8262446613006107,COMPLETE
241,0.658531746031746,0.49015715528082215,0.8842596961496066,COMPLETE
242,0.6581694271911663,0.5103206457189337,0.8599343431682513,COMPLETE
243,0.6555124223602484,0.4466547989158799,0.9301278232894772,COMPLETE
244,0.658531746031746,0.47435929972628993,0.9007252194235201,COMPLETE
245,0.6555124223602484,0.40924786188996537,0.8702915559092808,COMPLETE
246,0.658531746031746,0.46117138775310496,0.7918685654489298,COMPLETE
247,0.6581694271911663,0.5279754267635155,0.8436242336057389,COMPLETE
248,0.6555124223602484,0.4328292567801045,0.8852553172574817,COMPLETE
249,0.658531746031746,0.4922690898754185,0.9139169905258404,COMPLETE
250,0.658531746031746,0.44562786072521793,0.8555878866565089,COMPLETE
251,0.6555124223602484,0.4170694155665636,0.8226599630323742,COMPLETE
252,0.6581694271911663,0.9870620074174736,0.20513933528870726,COMPLETE
253,0.6555124223602484,0.47373898415595384,0.952206444412412,COMPLETE
254,0.6581694271911663,0.5574170232963723,0.7669433116243456,COMPLETE
255,0.658531746031746,0.5005193092849186,0.8743734365701626,COMPLETE
256,0.6555124223602484,0.39263959914434904,0.811893081455282,COMPLETE
257,0.658531746031746,0.4586991308288187,0.8427289899311333,COMPLETE
258,0.6555124223602484,0.4359812363323946,0.9986887834939554,COMPLETE
259,0.658531746031746,0.47335490964008303,0.8930499178321284,COMPLETE
260,0.6555124223602484,0.4119547002218525,0.9257914232635718,COMPLETE
261,0.658531746031746,0.3705315918082517,0.7082467923585184,COMPLETE
262,0.6581694271911663,0.5083519702199563,0.7931657475263681,COMPLETE
263,0.658531746031746,0.449424644870058,0.8569895207253359,COMPLETE
264,0.658531746031746,0.4842820618608376,0.8303736293758505,COMPLETE
265,0.6555124223602484,0.4294303700790263,0.8755982870185227,COMPLETE
266,0.658531746031746,0.5288703250687342,0.9115421231307588,COMPLETE
267,0.6581694271911663,0.4610731487736183,0.7430154886067499,COMPLETE
268,0.6555124223602484,0.4294274596607485,0.8491407045954991,COMPLETE
269,0.6555124223602484,0.39825615146428134,0.9469629750648786,COMPLETE
270,0.6581694271911663,0.48808169009787267,0.8123819379549854,COMPLETE
271,0.6555124223602484,0.4509499937044992,0.8916067200713289,COMPLETE
272,0.658531746031746,0.47115742292676016,0.8667610910614942,COMPLETE
273,0.6581694271911663,0.5145217752856923,0.8321924133795922,COMPLETE
274,0.6555124223602484,0.4106154660959712,0.975761874728157,COMPLETE
275,0.6555124223602484,0.22722708332468589,0.7760682400515653,COMPLETE
276,0.658531746031746,0.4386618214679177,0.8025600799688203,COMPLETE
277,0.658531746031746,0.4823538184999065,0.9026335929390513,COMPLETE
278,0.6555124223602484,0.45813617610776514,0.9261346255457154,COMPLETE
279,0.658531746031746,0.4987070698905344,0.8527229193202323,COMPLETE
280,0.6581694271911663,0.7499887324563652,0.8710085478409947,COMPLETE
281,0.6555124223602484,0.4151915843515602,0.8313686382264092,COMPLETE
282,0.6555124223602484,0.4450674379537795,0.8880034446151166,COMPLETE
283,0.658531746031746,0.4653982269220167,0.8512836895193215,COMPLETE
284,0.6555124223602484,0.4275670702724539,0.9436288483436577,COMPLETE
285,0.6555124223602484,0.38724876856069945,0.8118303260656574,COMPLETE
286,0.658531746031746,0.5317493183456711,0.9064241994913959,COMPLETE
287,0.6581694271911663,0.4838603963590485,0.7850603870167645,COMPLETE
288,0.6555124223602484,0.4463308253859854,0.8808624942366385,COMPLETE
289,0.6581694271911663,0.5087251716141552,0.134619401532643,COMPLETE
290,0.658531746031746,0.46753635209508,0.8367115641740036,COMPLETE
291,0.6581694271911663,0.899032022906321,0.7572381639393023,COMPLETE
292,0.6555124223602484,0.42214649286177547,0.8652153285098518,COMPLETE
