query_id,candidat_id,system,n_relevant_in_pool,precision@1,recall@1,ndcg@1,mrr@1,hit_rate@1,precision@3,recall@3,ndcg@3,mrr@3,hit_rate@3,precision@5,recall@5,ndcg@5,mrr@5,hit_rate@5,precision@10,recall@10,ndcg@10,mrr@10,hit_rate@10
PPBZV2501080016433,PPBZV2501080016433,pgvector_only,11,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.18181818181818182,0.5307212739772434,0.5,1.0,0.4,0.18181818181818182,0.38356636737133565,0.5,1.0,0.5,0.45454545454545453,0.4553242592576836,0.5,1.0
PPBZV2501080016433,PPBZV2501080016433,pgvector_plus_graph,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PPBZV2501030015789,PPBZV2501030015789,pgvector_only,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.13568544539116628,0.125,1.0
PPBZV2501030015789,PPBZV2501030015789,pgvector_plus_graph,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.2,0.27727342735504823,0.25,1.0,0.4,0.4,0.3316936730892071,0.25,1.0
PPBZV2501090016491,PPBZV2501090016491,pgvector_only,9,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.1111111111111111,0.2960819109658652,0.5,1.0,0.4,0.2222222222222222,0.34519134224686937,0.5,1.0,0.3,0.3333333333333333,0.3071686621074187,0.5,1.0
PPBZV2501090016491,PPBZV2501090016491,pgvector_plus_graph,9,1.0,0.1111111111111111,1.0,1.0,1.0,0.6666666666666666,0.2222222222222222,0.7039180890341347,1.0,1.0,0.6,0.3333333333333333,0.639945385422766,1.0,1.0,0.6,0.6666666666666666,0.6639368874155674,1.0,1.0
PPPNR2501090016440,PPPNR2501090016440,pgvector_only,3,1.0,0.3333333333333333,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.46927872602275644,1.0,1.0,0.2,0.3333333333333333,0.46927872602275644,1.0,1.0,0.2,0.6666666666666666,0.617319681505689,1.0,1.0
PPPNR2501090016440,PPPNR2501090016440,pgvector_plus_graph,3,1.0,0.3333333333333333,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.46927872602275644,1.0,1.0,0.2,0.3333333333333333,0.46927872602275644,1.0,1.0,0.1,0.3333333333333333,0.46927872602275644,1.0,1.0
PPBZV2501210017783,PPBZV2501210017783,pgvector_only,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.5,0.18457569677956817,0.1111111111111111,1.0
PPBZV2501210017783,PPBZV2501210017783,pgvector_plus_graph,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1.0,0.36181498356361597,0.1111111111111111,1.0
PPBZV2503120022660,PPBZV2503120022660,pgvector_only,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PPBZV2503120022660,PPBZV2503120022660,pgvector_plus_graph,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.5,0.17723928678404774,0.1,1.0
PPBZV2501180017613,PPBZV2501180017613,pgvector_only,1,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1,1.0,1.0,1.0,1.0
PPBZV2501180017613,PPBZV2501180017613,pgvector_plus_graph,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
