zone_localisation,pays_clean,ville_principale_clean,n,part_pct
International,États-Unis,Greater Philadelphia,1,0.01
International,États-Unis,Greater New Orleans Region,1,0.01
International,États-Unis,Greater Minneapolis-St. Paul Area,1,0.01
International,États-Unis,Greater Grand Junction Area,1,0.01
International,États-Unis,Greater Flagstaff Area,1,0.01
International,États-Unis,Las Cruces,1,0.01
International,États-Unis,Lagrange,1,0.01
International,États-Unis,Knoxville,1,0.01
International,États-Unis,Kennesaw,1,0.01
International,États-Unis,Kearney,1,0.01
International,États-Unis,Kansas City,1,0.01
International,États-Unis,Alpharetta,1,0.01
International,États-Unis,Allentown,1,0.01
International,Congo,Ntokou,1,0.01
International,Congo,Loango,1,0.01
International,Congo,Hinda,1,0.01
International,États-Unis,Big Lake,1,0.01
International,États-Unis,Berkeley,1,0.01
International,États-Unis,Beaumont,1,0.01
International,États-Unis,Baton Rouge,1,0.01
International,États-Unis,Batavia,1,0.01
International,États-Unis,Kankakee,1,0.01
International,États-Unis,Kalamazoo,1,0.01
International,États-Unis,Jersey City,1,0.01
International,États-Unis,Jacksonville,1,0.01
International,États-Unis,Jackson,1,0.01
International,États-Unis,Meeker,1,0.01
International,États-Unis,Marlborough,1,0.01
International,États-Unis,Marietta,1,0.01
International,États-Unis,Malibu,1,0.01
International,États-Unis,Maine,1,0.01
International,États-Unis,Madison,1,0.01
International,États-Unis,Lonoke,1,0.01
International,États-Unis,St Louis,1,0.01
International,États-Unis,Southlake,1,0.01
International,États-Unis,South Plainfield,1,0.01
International,États-Unis,South Hackensack,1,0.01
International,États-Unis,Somerset,1,0.01
International,États-Unis,Shelby Township,1,0.01
Cameroun,Cameroun,Dschang,1,0.01
Cameroun,Cameroun,Doumé,1,0.01
Cameroun,Cameroun,Douala - Garoua - Maroua - Yaoundé,1,0.01
Cameroun,Cameroun,Douala - Garoua,1,0.01
Cameroun,Cameroun,Douala - Ebolowa - Yaoundé - International,1,0.01
Cameroun,Cameroun,Douala - Ebolowa - Yaoundé,1,0.01
International,États-Unis,Long Beach,1,0.01
International,États-Unis,Lombard,1,0.01
International,États-Unis,Lexington,1,0.01
International,États-Unis,Lewis Run,1,0.01
International,États-Unis,Lemont,1,0.01
International,États-Unis,Las Vegas Metropolitan Area,1,0.01
International,États-Unis,North Brunswick,1,0.01
International,États-Unis,New Haven,1,0.01
International,États-Unis,Nassau County,1,0.01
International,États-Unis,Naperville,1,0.01
International,États-Unis,Morristown,1,0.01
International,États-Unis,Mooresville,1,0.01
International,États-Unis,Montpelier,1,0.01
International,États-Unis,Montgomery,1,0.01
Cameroun,Cameroun,Mbalmayo,1,0.01
Cameroun,Cameroun,Guider,1,0.01
Cameroun,Cameroun,Fotokol,1,0.01
Cameroun,Cameroun,Figuil,1,0.01
Cameroun,Cameroun,Extreme-Nord,1,0.01
International,Congo,Gamboma,1,0.01
Cameroun,Cameroun,Édéa,1,0.01
International,États-Unis,Ames,1,0.01
International,États-Unis,Milledgeville,1,0.01
International,États-Unis,Miami,1,0.01
International,États-Unis,Menlo Park,1,0.01
International,États-Unis,Pensacola,1,0.01
International,États-Unis,Pella,1,0.01
International,États-Unis,Pearland,1,0.01
International,États-Unis,Palo Alto,1,0.01
International,États-Unis,Owensboro,1,0.01
International,États-Unis,Orient,1,0.01
International,États-Unis,Oregon,1,0.01
International,États-Unis,Omaha,1,0.01
International,États-Unis,Ohio,1,0.01
International,États-Unis,Oakbrook Terrace,1,0.01
International,États-Unis,Novi,1,0.01
International,États-Unis,North Salt Lake,1,0.01
International,États-Unis,North Creek,1,0.01
International,États-Unis,North Carolina,1,0.01
International,États-Unis,Salem,1,0.01
International,États-Unis,Safford,1,0.01
International,États-Unis,Sacramento,1,0.01
International,États-Unis,Roseville,1,0.01
International,États-Unis,Rohnert Park,1,0.01
International,États-Unis,Ridgewood,1,0.01
International,États-Unis,Ridgefield,1,0.01
International,États-Unis,Richardson,1,0.01
International,États-Unis,Redmond,1,0.01
International,États-Unis,Prospect,1,0.01
International,États-Unis,San Diego Metropolitan Area,1,0.01
International,États-Unis,San Carlos,1,0.01
International,États-Unis,San Antonio,1,0.01
Cameroun,Cameroun,Bafoussam - Bamenda - Bertoua - Buéa - Douala - Ebolowa - Garoua - Maroua - Ngaoundéré - Yaoundé,1,0.01
Cameroun,Cameroun,Bertoua - Douala - Garoua - Maroua - Yaoundé,1,0.01
Cameroun,Cameroun,Bafoussam - Yaoundé,1,0.01
Cameroun,Cameroun,Djohung,1,0.01
Cameroun,Cameroun,Buéa - Douala - Yaoundé,1,0.01
Cameroun,Cameroun,Mbankomo,1,0.01
International,États-Unis,Port Charlotte,1,0.01
International,États-Unis,Philadelphia,1,0.01
Cameroun,Cameroun,Bertoua - Douala - Garoua - Yaoundé,1,0.01
International,États-Unis,Wooster,1,0.01
International,États-Unis,Winston-Salem,1,0.01
International,États-Unis,Winsted,1,0.01
International,États-Unis,Wichita,1,0.01
International,États-Unis,White County,1,0.01
International,États-Unis,West Chester,1,0.01
International,États-Unis,Warren,1,0.01
Cameroun,Cameroun,Bafoussam - Douala - Ebolowa - Yaoundé,1,0.01
International,États-Unis,Valentine,1,0.01
International,États-Unis,Utah County,1,0.01
International,États-Unis,Utah,1,0.01
Cameroun,Cameroun,Bertoua - Yaoundé,1,0.01
Cameroun,Cameroun,Abong-Mbang,1,0.01
