duplicate_candidate_key,duplicate_candidate_count,duplicate_candidate_rank,source_row_number,offre_id,titre_poste,employeur,ville_region_raw,secteur_activite_raw,etl_completeness_score
1815ffcd7c78aea6eca5,2,1,9471,OFFRE_009471_1f85daa37f8a,Acheteur Matières Premières,AFRICAWORK,Cameroun (ville non précisée),Distribution / Commerce de gros / Commerce de détail,1.0
1815ffcd7c78aea6eca5,2,2,9477,OFFRE_009477_9c4685bba918,Acheteur Matières Premières,AFRICAWORK,Cameroun (ville non précisée),Distribution / Commerce de gros / Commerce de détail,1.0
cebf6e1e0a44e0880d9f,2,1,9482,OFFRE_009482_357b9c09a41e,Responsable Budget et contrats Poste basé à Yaoundé,Care International,Yaoundé,ONG / Organisation internationale,1.0
cebf6e1e0a44e0880d9f,2,2,9483,OFFRE_009483_db5cdcb8f6d4,Responsable Budget et contrats Poste basé à Yaoundé,Care International,Yaoundé,ONG / Organisation internationale,1.0
898306db6be9b638081a,2,1,9507,OFFRE_009507_0051bd2ac5ed,Business Developer - Kenya,FED AFRICA,Cameroun (ville non précisée),Distribution / Commerce de gros / Commerce de détail,1.0
65e5abc1604ada7c6425,2,1,9515,OFFRE_009515_a20753f67320,DIRECTEUR DU SYSTÈME D'INFORMATION,TRUST AFRICA,Cameroun (ville non précisée),TIC / Télécommunications,1.0
65e5abc1604ada7c6425,2,2,9519,OFFRE_009519_8b5dabebbbb1,DIRECTEUR DU SYSTÈME D'INFORMATION,TRUST AFRICA,Cameroun (ville non précisée),TIC / Télécommunications,1.0
fa5c5de82c659240149a,2,2,9529,OFFRE_009529_c94644ce52e0,SALES ANALYST,Employeur non précisé,Cameroun (ville non précisée),Distribution / Commerce de gros / Commerce de détail,1.0
c54e1d205d614f0cefe3,2,1,9532,OFFRE_009532_66d75d94c2f9,Designer Graphique,VECADEMY,Cameroun (ville non précisée),TIC / Télécommunications,1.0
85344b010ed77e34dec7,2,1,9535,OFFRE_009535_54b092b5cab7,Rapporteur d'Affaires dans les pays Africains / Travail à distance,LEAP AHEAD CONSULTING,Cameroun (ville non précisée),Distribution / Commerce de gros / Commerce de détail,1.0
c54e1d205d614f0cefe3,2,2,9536,OFFRE_009536_131923069b93,Designer Graphique,VECADEMY,Cameroun (ville non précisée),TIC / Télécommunications,1.0
85344b010ed77e34dec7,2,2,9537,OFFRE_009537_2a80ead2b925,Rapporteur d'Affaires dans les pays Africains / Travail à distance,LEAP AHEAD CONSULTING,Cameroun (ville non précisée),Distribution / Commerce de gros / Commerce de détail,1.0
26c59e2a0729f3c87fdc,4,1,9563,OFFRE_009563_e396520de263,Directeur du Marché des PME/PMI H/F,ADRH APAVE,Cameroun (ville non précisée),Banque / Services financiers / Assurance,1.0
99f3aaba2b2dd20cb60b,2,1,9575,OFFRE_009575_00fbcfef84ab,Assistant Production Operator,CIBLE RH EMPLOI,Cameroun (ville non précisée),Industrie manufacturière,1.0
99f3aaba2b2dd20cb60b,2,2,9577,OFFRE_009577_e11a2bf78a45,Assistant Production Operator,CIBLE RH EMPLOI,Cameroun (ville non précisée),Industrie manufacturière,1.0
16547274e82b328d9c95,2,1,9592,OFFRE_009592_be1d39bcb6d2,Technico-Commercial en Assurance,Employeur non précisé,Cameroun (ville non précisée),Distribution / Commerce de gros / Commerce de détail,1.0
c8d9e8dfd6db3a18f52b,2,2,9612,OFFRE_009612_503086fb5efc,Comptable Consolidation Groupe H/F,ADRH APAVE,Cameroun (ville non précisée),Banque / Services financiers / Assurance,1.0
ed86e3e12276bbb9aa04,2,1,9614,OFFRE_009614_527568b9c5c7,Assistante Administrative H/F,ADRH APAVE,Cameroun (ville non précisée),Autre,1.0
45a791c7684a9cfee581,2,1,9616,OFFRE_009616_5951196fd5e4,Ingénieur des Systèmes Informatiques,SDEM SYSTEM,Cameroun (ville non précisée),TIC / Télécommunications,1.0
f3426dae30d6f721072d,2,1,9617,OFFRE_009617_2e91d1726d58,téléconseillers,International Negoce Call Cenetr,Cameroun (ville non précisée),Autre,1.0
98a25b3dd48b72bb6b55,2,1,9618,OFFRE_009618_f25339656aa0,Business Analyste,AFRICAWORK,Cameroun (ville non précisée),TIC / Télécommunications,1.0
a6bb68f30668d2d549cd,2,1,9619,OFFRE_009619_31be951f7681,Technico-Commercial (H/F),GERDIS SARL,Cameroun (ville non précisée),Distribution / Commerce de gros / Commerce de détail,1.0
5a2259b30621487d9235,2,1,9620,OFFRE_009620_4621d34e80ad,Commercial (H/F),ETS GNA SERVICES,Cameroun (ville non précisée),Distribution / Commerce de gros / Commerce de détail,1.0
4054993e888ba67f248f,2,1,9621,OFFRE_009621_80c0a87d3d1c,Développeur Web (H/F),AFRICAWORK,Cameroun (ville non précisée),TIC / Télécommunications,1.0
8e50050df8e746a9ab30,2,1,9622,OFFRE_009622_b981e90cb9b8,Développeur JAVA H/F,AFRICAWORK,Cameroun (ville non précisée),TIC / Télécommunications,1.0
bb63c28e8ae82100a66c,2,1,9623,OFFRE_009623_1ed58d9105d7,"Voyage d'études Dans les arts et multimédia, architecture et urbanisme au Portugal",ELITES Voyages,Cameroun (ville non précisée),Tourisme / Hôtellerie / Loisir / Restauration,1.0
3aafeb9d3f68eb49f3ef,2,1,9624,OFFRE_009624_736757d13b67,Stage pratique en Comptabilité,CABINET TF INTERNATIONNAL CONSULTING,Cameroun (ville non précisée),Banque / Services financiers / Assurance,1.0
00a2e8e86d844448599b,2,1,9625,OFFRE_009625_eaf50dc7544d,Commercial B2B - Yaoundé,DINA SURVEYS,Yaoundé,Distribution / Commerce de gros / Commerce de détail,1.0
d45beb204011ed127673,2,1,9626,OFFRE_009626_a60e87ff42ca,Ingénieur de Projet (Génie Mécanique et Industriel),ELECNOR S.A CAMEROUN,Cameroun (ville non précisée),Construction/ Immobilier,1.0
5858f8d58a1c1c23703a,2,1,9627,OFFRE_009627_9a5f1ce5d805,Agent de Marketing en Education,Vecademy,poli,Éducation,1.0
92f22834a82b2f85e920,2,1,9628,OFFRE_009628_3515fe177a4d,Chargé des Stratégies Social Media,ALTEMPLOI GABON,Cameroun (ville non précisée),TIC / Télécommunications,1.0
45a791c7684a9cfee581,2,2,9636,OFFRE_009636_3106b2b008c7,Ingénieur des Systèmes Informatiques,SDEM SYSTEM,Cameroun (ville non précisée),TIC / Télécommunications,1.0
f3426dae30d6f721072d,2,2,9637,OFFRE_009637_b115b2cbed48,téléconseillers,International Negoce Call Cenetr,Cameroun (ville non précisée),Autre,1.0
98a25b3dd48b72bb6b55,2,2,9638,OFFRE_009638_b7dabbba51b2,Business Analyste,AFRICAWORK,Cameroun (ville non précisée),TIC / Télécommunications,1.0
a6bb68f30668d2d549cd,2,2,9639,OFFRE_009639_96c4d50001c8,Technico-Commercial (H/F),GERDIS SARL,Cameroun (ville non précisée),Distribution / Commerce de gros / Commerce de détail,1.0
5a2259b30621487d9235,2,2,9640,OFFRE_009640_eb689857328c,Commercial (H/F),ETS GNA SERVICES,Cameroun (ville non précisée),Distribution / Commerce de gros / Commerce de détail,1.0
4054993e888ba67f248f,2,2,9641,OFFRE_009641_12388c6964b5,Développeur Web (H/F),AFRICAWORK,Cameroun (ville non précisée),TIC / Télécommunications,1.0
8e50050df8e746a9ab30,2,2,9642,OFFRE_009642_dc4baf4f74b4,Développeur JAVA H/F,AFRICAWORK,Cameroun (ville non précisée),TIC / Télécommunications,1.0
bb63c28e8ae82100a66c,2,2,9643,OFFRE_009643_639acd8b7ffe,"Voyage d'études Dans les arts et multimédia, architecture et urbanisme au Portugal",ELITES Voyages,Cameroun (ville non précisée),Tourisme / Hôtellerie / Loisir / Restauration,1.0
3aafeb9d3f68eb49f3ef,2,2,9644,OFFRE_009644_582577adb724,Stage pratique en Comptabilité,CABINET TF INTERNATIONNAL CONSULTING,Cameroun (ville non précisée),Banque / Services financiers / Assurance,1.0
00a2e8e86d844448599b,2,2,9645,OFFRE_009645_894658ed998d,Commercial B2B - Yaoundé,DINA SURVEYS,Yaoundé,Distribution / Commerce de gros / Commerce de détail,1.0
d45beb204011ed127673,2,2,9646,OFFRE_009646_c5d87c52ece2,Ingénieur de Projet (Génie Mécanique et Industriel),ELECNOR S.A CAMEROUN,Cameroun (ville non précisée),Construction/ Immobilier,1.0
5858f8d58a1c1c23703a,2,2,9647,OFFRE_009647_831495131cae,Agent de Marketing en Education,Vecademy,poli,Éducation,1.0
92f22834a82b2f85e920,2,2,9648,OFFRE_009648_63dda4039671,Chargé des Stratégies Social Media,ALTEMPLOI GABON,Cameroun (ville non précisée),TIC / Télécommunications,1.0
d510dd65e57b6b9bbc4b,3,1,9653,OFFRE_009653_9450657dddc8,Responsable Marketing,APC ASSOCIATION POUR LA CULTURE,Cameroun (ville non précisée),Distribution / Commerce de gros / Commerce de détail,1.0
be376c2adf0ec1f19e90,3,1,9654,OFFRE_009654_9921c1bd5117,Manager Comptable,ALTEMPLOI GABON,Cameroun (ville non précisée),Banque / Services financiers / Assurance,1.0
a67a5b3c64f83938f518,3,1,9656,OFFRE_009656_11ca5cdfa805,Directeur Commercial et Marketing (H/F),TRUST AFRICA,Cameroun (ville non précisée),Marketing / Publicité,1.0
d805d13874ad39e16a10,2,1,9657,OFFRE_009657_10f55f8201bb,Community Manager H/F,TRUST AFRICA,Cameroun (ville non précisée),Distribution / Commerce de gros / Commerce de détail,1.0
be376c2adf0ec1f19e90,3,2,9658,OFFRE_009658_8339c9d5ac02,Manager Comptable,ALTEMPLOI GABON,Cameroun (ville non précisée),Banque / Services financiers / Assurance,1.0
34dcecf25e8cec82a7ef,2,1,9659,OFFRE_009659_4defa16cd928,Hôtesse de Vente,Employeur non précisé,Cameroun (ville non précisée),Distribution / Commerce de gros / Commerce de détail,1.0
ea4740a4b0e94566a97e,2,1,9660,OFFRE_009660_94d5408b0022,PRODUCT SALES MANAGER – ABIDJAN,MELT GROUP,Cameroun (ville non précisée),Distribution / Commerce de gros / Commerce de détail,1.0
d510dd65e57b6b9bbc4b,3,2,9661,OFFRE_009661_b88cf9bc19cc,Responsable Marketing,APC ASSOCIATION POUR LA CULTURE,Cameroun (ville non précisée),Distribution / Commerce de gros / Commerce de détail,1.0
4ae15f4dc5d744cde7f5,2,1,9662,OFFRE_009662_35bd99cb5a53,Accounts manager,Primland,Cameroun (ville non précisée),Tourisme / Hôtellerie / Loisir / Restauration,1.0
5d5a2a2f112b3c476bfe,2,1,9663,OFFRE_009663_d9339f57dec6,Receptionist,Primland,Cameroun (ville non précisée),Tourisme / Hôtellerie / Loisir / Restauration,1.0
c473a46bb77f4eff7d4f,2,1,9664,OFFRE_009664_a7ae153ced5b,Reservation Manager,Primland,Cameroun (ville non précisée),Tourisme / Hôtellerie / Loisir / Restauration,1.0
8328b7b289f6d0739856,2,1,9665,OFFRE_009665_8f178618b43d,comptable H/F,HELIS ENTERTAINMENT,Cameroun (ville non précisée),TIC / Télécommunications,1.0
8e7c18b77e36e22af9e2,2,1,9675,OFFRE_009675_7cbef2007eeb,Chef de Chantier Terrassement,MELT GROUP,Cameroun (ville non précisée),Construction/ Immobilier,1.0
a67a5b3c64f83938f518,3,2,9676,OFFRE_009676_ebfd9f6c1ed2,Directeur Commercial et Marketing (H/F),TRUST AFRICA,Cameroun (ville non précisée),Marketing / Publicité,1.0
d805d13874ad39e16a10,2,2,9677,OFFRE_009677_27a7fa1e87b2,Community Manager H/F,TRUST AFRICA,Cameroun (ville non précisée),Distribution / Commerce de gros / Commerce de détail,1.0
be376c2adf0ec1f19e90,3,3,9678,OFFRE_009678_677ddb13a64e,Manager Comptable,ALTEMPLOI GABON,Cameroun (ville non précisée),Banque / Services financiers / Assurance,1.0
34dcecf25e8cec82a7ef,2,2,9679,OFFRE_009679_dc99e57fee87,Hôtesse de Vente,Employeur non précisé,Cameroun (ville non précisée),Distribution / Commerce de gros / Commerce de détail,1.0
