type,cosine
intra_COMPETENCE,0.1738876849412918
intra_METIER,0.1540611982345581
intra_METIER,0.008376067504286766
intra_METIER,0.026121221482753754
intra_METIER,0.0781840905547142
intra_METIER,0.15219654142856598
intra_METIER,0.010402867570519447
intra_METIER,-0.016902007162570953
intra_METIER,0.15014952421188354
intra_METIER,0.031363312155008316
intra_METIER,0.28367677330970764
intra_METIER,0.1347454935312271
intra_METIER,0.08170829713344574
intra_METIER,0.06821311265230179
intra_METIER,0.07830813527107239
intra_METIER,0.0626230388879776
intra_METIER,0.7014776468276978
intra_METIER,0.23213723301887512
intra_METIER,0.07159840315580368
intra_METIER,0.06454630941152573
intra_METIER,0.04657910391688347
intra_METIER,0.3932698965072632
intra_METIER,0.37278592586517334
intra_METIER,0.16019749641418457
intra_METIER,0.13659393787384033
intra_METIER,0.15192608535289764
intra_METIER,0.04386497661471367
intra_METIER,0.01956138387322426
intra_METIER,0.050707608461380005
intra_METIER,0.06451405584812164
intra_METIER,0.1347454935312271
intra_METIER,-0.0006603249930776656
intra_METIER,0.1436896026134491
intra_METIER,0.19308701157569885
intra_METIER,0.19727088510990143
intra_METIER,0.23658350110054016
intra_METIER,0.07491455972194672
intra_METIER,0.042962733656167984
intra_METIER,0.27098914980888367
intra_METIER,3.717095387401059e-05
intra_METIER,0.09157341718673706
intra_METIER,0.14807000756263733
intra_METIER,0.07294207066297531
intra_METIER,0.03837894648313522
intra_METIER,0.18783527612686157
intra_METIER,-0.022992268204689026
intra_METIER,0.11126547306776047
intra_METIER,0.05368779972195625
intra_METIER,0.05866563692688942
intra_METIER,0.02849072776734829
intra_METIER,0.22250115871429443
intra_METIER,0.20636478066444397
intra_METIER,0.19864872097969055
intra_METIER,0.10585448890924454
intra_METIER,0.0852040946483612
intra_METIER,0.020942658185958862
intra_METIER,0.053228653967380524
intra_METIER,-0.0068609281443059444
intra_METIER,-0.04022634029388428
intra_METIER,0.027079373598098755
intra_METIER,0.010658600367605686
intra_METIER,0.062499869614839554
intra_METIER,-0.003069311147555709
intra_METIER,-0.050391100347042084
intra_METIER,0.10877814143896103
intra_METIER,0.053251318633556366
intra_METIER,0.05465543270111084
intra_METIER,-0.028245925903320312
intra_METIER,0.020942658185958862
intra_METIER,0.11062604188919067
intra_METIER,0.11298094689846039
intra_METIER,0.32305094599723816
intra_METIER,0.1533294916152954
intra_METIER,0.040479470044374466
intra_METIER,0.15289221704006195
intra_METIER,0.17221419513225555
intra_METIER,0.29207104444503784
intra_METIER,0.07750161737203598
intra_METIER,-0.05816349387168884
intra_METIER,0.09112785756587982
intra_METIER,0.1947142481803894
intra_METIER,0.08307991921901703
intra_METIER,0.22308318316936493
intra_METIER,0.2176111787557602
intra_METIER,0.034228019416332245
intra_METIER,0.02117735706269741
intra_METIER,0.09876395761966705
intra_METIER,0.4184530973434448
intra_METIER,0.18808138370513916
intra_METIER,0.10089250653982162
intra_METIER,0.1058439239859581
intra_METIER,0.06003369763493538
intra_METIER,0.24121171236038208
