entity_kind,entity_id,label_fr,umap_1,umap_2
COMPETENCE,http://data.europa.eu/esco/skill/db85a2ca-04c4-4275-ba7a-b615c3686e09,types de peau,-1.2585381,-2.275606
COMPETENCE,http://data.europa.eu/esco/skill/7109d172-c370-47fe-ac81-8fe93550a9e3,investissement d’impact,-1.3640485,-0.095347516
COMPETENCE,http://data.europa.eu/esco/skill/7d0f33ea-e724-4d77-8b75-ee4fe66bb9ba,planifier des processus de fabrication,0.64503044,-2.8017988
COMPETENCE,http://data.europa.eu/esco/skill/38bceda2-af8c-40f5-943b-c9f3f13db6e6,superviser l’alimentation en milieu médical,0.63949186,-0.49306002
COMPETENCE,http://data.europa.eu/esco/skill/48c34089-d74a-4e52-b783-aea877f2fea1,équipements d’apprentissage pour l’équitation,-0.84385294,-2.0113034
COMPETENCE,http://data.europa.eu/esco/skill/489b2571-ce18-4944-b452-ed1f54e55b68,Schoology,-2.287079,0.20955412
COMPETENCE,http://data.europa.eu/esco/skill/c2b81b34-b009-4f62-85e9-cbf304d7f2f7,gérer les transporteurs,0.20281346,-4.402108
COMPETENCE,http://data.europa.eu/esco/skill/1e3222fa-724d-41f0-9b0a-e88d1003cd35,réaliser une étude de faisabilité sur le refroidissement par absorption solaire,-0.18747286,-2.8670304
COMPETENCE,http://data.europa.eu/esco/skill/456e263a-fad8-4171-a6ad-50941dad887a,traitement UHT,-0.7573117,-3.1584213
COMPETENCE,http://data.europa.eu/esco/skill/f36d3d7e-359f-420d-a22b-d0d2e0ebfa08,gérer des équipements funéraires,-1.3293846,-1.7157525
COMPETENCE,http://data.europa.eu/esco/skill/7ffae77a-93ce-40a3-af99-fae5729e8b15,assembler des robots,1.0308896,-2.457075
COMPETENCE,http://data.europa.eu/esco/skill/cccf3cf0-8971-4034-b2eb-35c819c3bdb2,enregistrer les visiteurs,-0.88014,-1.0794722
COMPETENCE,http://data.europa.eu/esco/skill/83c88276-6eb9-4749-94e5-5155bd475d51,adapter un enregistrement vocal à un document audio,-1.9822433,-1.1881996
COMPETENCE,http://data.europa.eu/esco/skill/fdfa44f7-2f10-4fba-8ade-df0a1fb77abd,calculer le taux de croissance de ressources aquatiques,0.33649704,-1.9075543
COMPETENCE,http://data.europa.eu/esco/skill/882f9d71-662f-4dfa-9e1c-d2991c34f887,employer des techniques de chiropractie sur les animaux,0.819337,-1.3331217
COMPETENCE,http://data.europa.eu/esco/skill/84c52ee9-3eed-4f6c-983c-456e818c65f3,déchiffrer des poinçons,-1.1765307,-3.6200545
COMPETENCE,http://data.europa.eu/esco/skill/44672641-e4b9-4a93-b64f-d8700149d772,exigences en matière de sécurité alimentaire pour la viande de gibier sauvage,-0.054038353,-0.5294654
COMPETENCE,http://data.europa.eu/esco/skill/97c84652-d5ec-4beb-85c3-1a910341758b,transporter des visiteurs,0.3033764,-4.555332
COMPETENCE,http://data.europa.eu/esco/skill/e6973d21-e920-4f20-81a2-8a7b2a7c4c8b,types d’extracteurs de miel,0.95405596,-3.414936
COMPETENCE,http://data.europa.eu/esco/skill/f82b05a7-128b-4a72-a815-044ff6062f62,donner des conseils sur les procédures de gestion des déchets,-0.59468544,0.03950907
COMPETENCE,http://data.europa.eu/esco/skill/6b6c1537-58c1-45e1-b4e4-f5193fb0a6dc,tester des produits médicaux,0.4073386,-1.5102959
COMPETENCE,http://data.europa.eu/esco/skill/cc222240-08d9-44a6-acbe-ffc6f030f9ab,contrôler l’identité de visiteurs,-1.0582292,-1.0620314
COMPETENCE,http://data.europa.eu/esco/skill/211e4a02-69a6-494e-b94a-93741e2a3a0b,démonter des appareils mobiles,-0.67396,-2.0246098
COMPETENCE,http://data.europa.eu/esco/skill/be566f3e-6c21-4799-a7d0-fa4abbcb71cd,assurer la conformité d’aéronefs avec la réglementation,0.4303882,-4.397541
COMPETENCE,http://data.europa.eu/esco/skill/aba33944-7bc3-42ea-9b37-03d7482231c7,inspecter de l’asphalte,-1.0375377,-2.7822
COMPETENCE,http://data.europa.eu/esco/skill/c7520bd6-4aa9-4a35-9efb-c65b1c0e2181,superviser la sécurité des opérations ferroviaires,-0.107266195,-0.9505757
COMPETENCE,http://data.europa.eu/esco/skill/9fb35964-03f9-442e-96c0-989ab8b018e4,réaliser un mélange de moulage,-1.3263756,-3.4097404
COMPETENCE,http://data.europa.eu/esco/skill/fae27053-8924-4bfd-b565-c9fe502044c9,conception des systèmes,-2.2586207,2.1932585
COMPETENCE,http://data.europa.eu/esco/skill/d70cab7b-ad8c-4be8-84f0-c5f3f9501818,entretenir les équipements d’intégration des médias,-2.3603182,-1.487843
COMPETENCE,http://data.europa.eu/esco/skill/6b643893-0a1f-4f6c-83a1-e7eef75849b9,développer à l’aide des services d’informatique en nuage,-2.2760255,2.438775
COMPETENCE,http://data.europa.eu/esco/skill/adab096c-66d0-4ae6-9f3d-8a925de4c2a7,installer des systèmes de dégivrage électrothermiques,0.14783174,-3.148962
COMPETENCE,http://data.europa.eu/esco/skill/45bef06d-dba9-4192-9805-2f7d27523638,utiliser un appareil de découpe au laser,-1.0405393,-3.7656608
COMPETENCE,http://data.europa.eu/esco/skill/248951cc-3b10-447f-a4b2-0037e6e7a9ab,aider les patients ayant des besoins particuliers,0.61085147,-0.6304166
COMPETENCE,http://data.europa.eu/esco/skill/200a8387-d67c-43e4-9cdc-44ab592c299e,assurer la conformité réglementaire dans les infrastructures de pipelines,1.5740218,-4.934038
COMPETENCE,http://data.europa.eu/esco/skill/af0bbc31-b54d-4e8d-82b1-2e91a1115523,mécanique des trains,0.93807197,-3.9026985
COMPETENCE,http://data.europa.eu/esco/skill/ca8c5849-2655-44b3-b2fa-c4c0e2a04aeb,remplacer une machine,-0.5927379,-3.5185094
COMPETENCE,http://data.europa.eu/esco/skill/49a5effb-e497-4dba-afb9-c6c354882b22,viande halal,-0.97269547,-2.806453
COMPETENCE,http://data.europa.eu/esco/skill/44711112-14b3-4625-bed3-8f07c3e85348,utiliser une pince,-0.88042265,-3.3299556
COMPETENCE,http://data.europa.eu/esco/skill/ef089514-1221-4e6a-a9ff-08dbc96afcde,nettoyer des pièces de joaillerie,-1.8304677,-2.3683424
COMPETENCE,http://data.europa.eu/esco/skill/47d2f266-aaf2-4852-9c66-607e76b1fa8b,détecter des défauts dans un produit,-0.476978,-2.3932798
COMPETENCE,http://data.europa.eu/esco/skill/8f1efe4e-5f92-43b0-a329-3c17c1460a37,comprendre l'azéri écrit,-2.0470827,-1.0674828
COMPETENCE,http://data.europa.eu/esco/skill/7d320e6c-a45f-477e-be95-47248f79485a,gérer des contrats de forage,-0.7831435,0.22006491
COMPETENCE,http://data.europa.eu/esco/skill/670c79e9-aa33-41ae-9858-573ade0adb89,interroger des groupes cibles,-1.9710653,-0.5904109
COMPETENCE,http://data.europa.eu/esco/skill/96ab25a3-c89b-43ea-833b-26b637c3b6ed,comprendre le néerlandais écrit,-2.0681853,-1.1223948
COMPETENCE,http://data.europa.eu/esco/skill/43bdb744-8072-4db9-b6e8-beea2171de1b,types de matériaux de plâtrage,-1.3277528,-2.6915145
COMPETENCE,http://data.europa.eu/esco/skill/3204e6a3-676d-4824-806d-b34c6b798f31,comprendre la dimension émotionnelle d'une représentation,-2.872003,-1.946865
COMPETENCE,http://data.europa.eu/esco/skill/c3c2420c-ce9a-4371-8eed-1db479c3a562,rédiger des publications scientifiques,-2.4363568,-0.734942
COMPETENCE,http://data.europa.eu/esco/skill/d7b66759-c40c-44de-9f31-9418f84e10c5,évaluer des facteurs de risque,-1.9274668,-0.5420702
COMPETENCE,http://data.europa.eu/esco/skill/e043adc7-e5e6-4c26-8c97-cb3a5f4bf119,élaborer des programmes de mobilité,-1.8257438,-0.15680711
COMPETENCE,http://data.europa.eu/esco/skill/f7940b22-764a-43f0-9642-f60f5897109b,conseiller des étudiants,-4.425505,0.11337964
COMPETENCE,http://data.europa.eu/esco/skill/1910b022-fc63-4f3d-b742-f9d62d4382b6,tenir un inventaire de fournitures de nettoyage de véhicules,-1.3675938,-1.8340786
COMPETENCE,http://data.europa.eu/esco/skill/a53211a6-9495-4a9b-8730-31f48afd0edf,évaluer une équipe d’encadrement dans un programme d’arts communautaires,-2.9057477,-1.9363708
COMPETENCE,http://data.europa.eu/esco/skill/91306a20-9b81-4f3d-97eb-f5368b607da7,assurer la gestion de clients,0.654063,0.36016545
COMPETENCE,http://data.europa.eu/esco/skill/820795ff-170b-48a0-93e3-326c4e2db201,créer des figurines en argile,-1.8879658,-2.2892735
COMPETENCE,http://data.europa.eu/esco/skill/f371606f-9b45-4340-9e92-ebd91d14ab29,tenir un inventaire des outils,-1.4572163,-1.8457974
COMPETENCE,http://data.europa.eu/esco/skill/9227266e-36c5-4e34-99da-caba3bd44d02,dérouiller des véhicules à moteur,-1.3596944,-3.1539516
COMPETENCE,http://data.europa.eu/esco/skill/82d83fd3-bd6b-4e09-8291-2e0f83e323f9,entretenir les attractions d’un parc de loisirs,-0.7166489,-1.2530807
COMPETENCE,http://data.europa.eu/esco/skill/82bdfb3f-9950-473c-8b47-43d6b7c34b6f,sécuriser des panneaux de parquet,-1.263934,-2.1215646
COMPETENCE,http://data.europa.eu/esco/skill/a5bfd7c2-44cd-4ff5-aeb5-248de606ee17,gérer les rapports financiers d’un magasin,-0.98437935,-0.35595253
COMPETENCE,http://data.europa.eu/esco/skill/a7a47148-732f-48bc-a7ce-18afe0d7f259,nettoyer un entrepôt,-1.3396205,-1.2034136
COMPETENCE,http://data.europa.eu/esco/skill/09dd7302-368e-4b3e-b644-7c03a2aae4a2,participer à la conception d’unités de production dans l’industrie alimentaire,0.06808819,-2.589743
COMPETENCE,http://data.europa.eu/esco/skill/1b7c716e-af95-4cda-a42f-6479c8b139f5,MDX,-2.4218037,2.5134842
COMPETENCE,http://data.europa.eu/esco/skill/5bb28770-52a9-4a1a-8299-30a969495c47,assurer le bien-être d’animaux lors du transport,0.39034656,-0.8659308
COMPETENCE,http://data.europa.eu/esco/skill/d1e78795-b3ed-40f4-abb0-21b689fa4ae5,séparer les métaux de minerais,0.5264987,-3.141628
COMPETENCE,http://data.europa.eu/esco/skill/5c81d08b-5a60-4582-87dd-7ad82d9c57b5,traiter des ongles,-1.4738739,-2.2602997
COMPETENCE,http://data.europa.eu/esco/skill/9920e559-e66c-44a8-b853-bf5c66f123fe,surveiller des systèmes de biofiltre,0.388948,-2.2360914
COMPETENCE,http://data.europa.eu/esco/skill/b5936963-0d12-4aa1-ae85-ad2686750427,systèmes de classification des gemmes,-3.0422368,-1.2461969
COMPETENCE,http://data.europa.eu/esco/skill/283b5e03-571e-4d58-b087-e7c9b2a45128,effectuer des contrôles de compétence de pilotage,0.48442426,-4.3401794
COMPETENCE,http://data.europa.eu/esco/skill/d54d7c00-87c4-4f78-af8d-e84577372974,wallon,-1.9427904,-1.9074651
COMPETENCE,http://data.europa.eu/esco/skill/b83669f2-bf53-47ed-af9f-397c5f2dfd4d,s’occuper des départs dans une structure d’hébergement,-1.4156238,-0.5562913
COMPETENCE,http://data.europa.eu/esco/skill/6d3edede-8951-4621-a835-e04323300fa0,anglais,-1.8947282,-1.9164106
COMPETENCE,http://data.europa.eu/esco/skill/90c0e266-c9ea-4036-802e-475ea50b9c7b,enseigner les principes de la musique,-2.633931,-1.9447453
COMPETENCE,http://data.europa.eu/esco/skill/3d0a644e-d056-46cb-aa0e-fbf6f88fcbb1,enquêter sur des accidents miniers,-0.3749063,-2.6353426
COMPETENCE,http://data.europa.eu/esco/skill/7add3681-17b6-4027-8a9d-ee92d2b96a42,gérer des processus de travail,0.2712519,-2.7950592
COMPETENCE,http://data.europa.eu/esco/skill/29891a32-64aa-4f64-b6eb-1fa990659375,improviser de la musique,-2.660405,-2.0625882
COMPETENCE,http://data.europa.eu/esco/skill/206f5738-e91f-4390-84a2-fcb864bc11b1,utiliser des modèles informatiques spécialisés pour les prévisions météorologiques,-2.9740012,-1.0997394
COMPETENCE,http://data.europa.eu/esco/skill/39b00008-3c6b-4395-b5dd-9d325283a885,instructions du fabricant d'appareils électroménagers,0.10163889,-3.0652373
COMPETENCE,http://data.europa.eu/esco/skill/0157feec-52c2-4764-b83d-2d017ce8e49d,préparer des huiles,-1.3360921,-1.9685105
COMPETENCE,http://data.europa.eu/esco/skill/21039101-4706-4fe0-a423-e63077cf36d9,maintenir l’ordre dans un tribunal,-1.3279365,0.027051512
