entity_kind,entity_id,norme,pc1,pc2
OFFRE_EMPLOI,OFFRE_007936_7f2846d8be51,0.9999998,-0.5758809016002215,-0.08903757205501345
COMPETENCE,http://data.europa.eu/esco/skill/9bb92e10-a5a9-437e-8101-8be2d7f631ff,1.0000001,-0.27768364331597617,-0.047243656670029874
CANDIDAT,PPBOU2510270049032,0.99999976,0.35238258505647346,-0.05722083861447486
CANDIDAT,PPPNR2510140047698,1.0000002,0.4917085175583017,-0.012585908510336918
CANDIDAT,PPBZV2511150051454,0.99999994,-0.10785760058360272,0.2744425014617122
OFFRE_EMPLOI,OFFRE_013200_d187755b9361,1.0000002,-0.15146532653832376,-0.17998200842155657
COMPETENCE,http://data.europa.eu/esco/skill/0b96f260-d768-4c08-aebb-5fc7ccb5aef9,1.0,-0.01792768351093606,-0.3669573696346429
CANDIDAT,PPBZV2507150035493,0.9999997,0.4270321236645789,-0.3343252287513232
CANDIDAT,PPBZV2512020053469,1.0000004,0.1655917255576705,0.39624242347736094
CANDIDAT,PPBZV2505130028161,1.0000001,0.14545578236395768,-0.030952251421830067
CANDIDAT,PPBZV2509270045353,1.0,-0.11394425331231649,0.22489674133637771
CANDIDAT,PPPNR2502050019561,0.99999976,0.07427056367256318,0.1086694194825112
COMPETENCE,http://data.europa.eu/esco/skill/6ffdcb09-16bc-4480-9ac8-40fdbf915712,1.0000005,-0.17095108710037743,-0.2871353684274662
CANDIDAT,PPPNR2512040053932,1.0,0.15368233641541482,0.4901902167619286
CANDIDAT,PPBZV2504140025677,1.0000004,0.15042069245461023,-0.15287299796879744
CANDIDAT,PPBZV2511100050787,1.0000001,0.20771958974216506,0.013945217860876543
OFFRE_EMPLOI,OFFRE_010956_ef82bb804175,1.0000004,-0.30796680999325166,-0.12185743832531262
OFFRE_EMPLOI,OFFRE_000023_3eb75a636c1b,1.0000002,-0.39738913144323346,-0.18022037675609515
CANDIDAT,PPPNR2503100022420,0.99999976,0.2933518985416044,-0.12860937767778782
CANDIDAT,PPBZV2507280036755,0.9999995,0.2081672486301031,0.00771668434866767
CANDIDAT,PPPNR2510260049004,1.0000002,-0.14073653414596748,0.113708622396774
CANDIDAT,PPPNR2505060027530,1.0000005,-0.07062459040491516,0.18124520605562794
OFFRE_EMPLOI,OFFRE_010477_4550dccb36e6,1.0,-0.35312015472313235,0.20228006040042115
CANDIDAT,PPPNR2503030021712,0.9999998,0.20937975735898937,0.18057817853100971
CANDIDAT,PPBZV2508110038315,0.9999997,-0.07452275496536127,0.36786824708373694
METIER,http://data.europa.eu/esco/occupation/19f6634f-ec0c-4513-b0d9-d43f9ddeb82d,0.9999997,-0.11437947281643596,0.1036254052565948
CANDIDAT,PPBZV2510220048480,1.0000001,0.08766019605617473,0.63769344614445
COMPETENCE,http://data.europa.eu/esco/skill/415f816c-07ae-4ac1-9ddb-ecaa9957a249,1.0000004,-0.29657404828689854,-0.023767071263062656
CANDIDAT,PPBZV2509180043889,0.9999999,0.11666577959525572,-0.02452487747988002
CANDIDAT,PPBZV2505110027899,1.0000004,-0.05061804691799548,0.5361263345482463
OFFRE_EMPLOI,OFFRE_006494_1a87986df56a,1.0000004,-0.40187151733837884,-0.17169126194203815
CANDIDAT,PPBZV2506240033261,1.0,0.06743108722082257,0.014621301225381807
COMPETENCE,http://data.europa.eu/esco/skill/d512d178-37a6-4eab-a660-412d2bb0824a,1.0000004,-0.12602560120283818,-0.22373417362381479
COMPETENCE,http://data.europa.eu/esco/skill/702a9bcd-bf99-4bb8-ba4a-44711b1e07a9,1.0000002,-0.09451019914794286,-0.24407664254724576
CANDIDAT,PPBOU2512190056245,0.9999993,0.1107877170667098,-0.023908011817895276
COMPETENCE,http://data.europa.eu/esco/skill/a6273028-d8b8-4b83-97c7-7eb1f1055661,1.0000005,-0.04665335367278201,-0.18230424563474068
COMPETENCE,http://data.europa.eu/esco/skill/410540a4-b88c-4073-9da2-8aa5d7eaf780,1.0000001,-0.12896181145232752,-0.3236732956925338
CANDIDAT,PPBZV2511090050646,1.0000008,0.24584170291683738,0.5110803676011694
CANDIDAT,PPBZV2510030046335,1.0000002,0.037064689003412414,0.3199566792963474
CANDIDAT,PPPNR2506140032149,1.0000004,0.40818277370273603,-0.18289957777193838
CANDIDAT,PPPNR2504010024522,0.99999994,0.10058263804498876,0.02931490788498971
CANDIDAT,PPBZV2508310040348,1.0,0.25241436049591387,-0.1309164865883973
OFFRE_EMPLOI,OFFRE_006079_77cc71d181ff,1.0000002,-0.42461053588781544,-0.104769365421564
OFFRE_EMPLOI,OFFRE_001584_a056241d53cb,1.0000002,0.042802865087902896,-0.17766775348952962
CANDIDAT,PPPNR2502260021353,0.9999997,0.44828682040528556,-0.29978163355730664
METIER,http://data.europa.eu/esco/occupation/7664f3e6-b469-4e1a-b52c-8a7ac866eb5a,1.0000002,-0.10171214678166997,-0.21504645079866333
CANDIDAT,PPBZV2503090022343,0.9999999,0.028884624212591786,0.19964554563671238
COMPETENCE,http://data.europa.eu/esco/skill/4da249d5-61c4-46b4-b4bd-da3b7467026d,1.0000004,-0.012197600361777276,-0.2905894420005767
CANDIDAT,PPBZV2504300027125,1.0000001,0.22885173328405156,0.45855768782397394
CANDIDAT,PPPNR2506160032247,1.0,0.21907652282657714,-0.09558728706072667
CANDIDAT,PPBZV2501150017243,1.0000002,0.11544868204684723,0.2311013819865835
CANDIDAT,PPBZV2511040050078,1.0000001,0.09322134158273407,0.4979426610823625
CANDIDAT,PPPNR2512020053495,1.0000001,0.4502176024730083,-0.16856408288056882
COMPETENCE,http://data.europa.eu/esco/skill/a0c80624-93cd-4b34-8552-bbebb264b532,0.9999998,-0.11629176483026851,-0.3490722001479873
CANDIDAT,PPPNR2508140038641,1.0000001,0.012798563171754112,0.14468355535439495
COMPETENCE,http://data.europa.eu/esco/skill/9cec5105-febf-4748-b2f6-067b304660eb,1.0000002,-0.022070112564363673,-0.13866076979145078
CANDIDAT,PPPNR2503100022434,0.9999999,0.251583437679995,-0.2884096846243435
OFFRE_EMPLOI,OFFRE_006303_dad33d6a24da,1.0,-0.4885158452187434,0.041016376733097264
OFFRE_EMPLOI,OFFRE_002998_a62264a97606,0.9999997,-0.6515847515273864,0.1263079161165852
OFFRE_EMPLOI,OFFRE_004353_3581b0ca1577,1.0000002,-0.42461053588781544,-0.104769365421564
CANDIDAT,PPPNR2505200029174,0.9999998,0.3166980691089984,-0.25339806138642645
OFFRE_EMPLOI,OFFRE_004029_a190182d2484,1.0000002,-0.48433847248863643,0.25905018629456417
OFFRE_EMPLOI,OFFRE_011460_6ddbd8c3962e,1.0,-0.14283648161124915,0.2748228971315015
CANDIDAT,PPPNR2511060050367,0.99999994,-0.17056001782900762,-0.11073801562457161
CANDIDAT,PPBZV2505090027824,0.99999976,0.11387455728108743,0.007509753230831457
CANDIDAT,PPPNR2504100025446,1.0000005,0.03970320162884002,0.044807284781089696
CANDIDAT,PPPNR2501170017500,1.0000005,0.031116577190230463,-0.09139966829926888
CANDIDAT,PPBZV2506110031679,0.9999997,0.1944197744986616,0.6297209167424782
CANDIDAT,PPPNR2506240033172,1.0000001,0.07555094055649948,0.4279512103821106
CANDIDAT,PPPNR2502120020089,0.99999994,0.19446420944978116,-0.03125601163673592
COMPETENCE,http://data.europa.eu/esco/skill/1acf0f0a-1945-43fb-a0bf-3c5b01cc4063,1.0000001,0.07377623777359595,-0.3778170820346217
CANDIDAT,PPBZV2506270033637,1.0,0.21277672311593598,0.07627161072729352
CANDIDAT,PPBZV2504300027123,1.0000001,0.08041278212117099,0.2893705086203296
CANDIDAT,PPBZV2505190029076,1.0000004,0.19460402128281803,0.6271350902939051
CANDIDAT,PPPNR2503110022543,0.99999994,0.39624859324325173,-0.000611550455151621
OFFRE_EMPLOI,OFFRE_002671_d0e7ccae4ccd,1.0000004,-0.23803325598516734,0.23509901511711917
CANDIDAT,PPBZV2501190017628,0.9999998,0.059314433475112734,0.3619448500099491
METIER,http://data.europa.eu/esco/occupation/82b5c6dc-6a4d-4415-80d8-5cfedfc54de7,0.9999999,-0.1671997283618414,-0.04680222526462676
CANDIDAT,PPPNR2507170035721,1.0,0.08024784929105093,0.31326045186051044
OFFRE_EMPLOI,OFFRE_010951_e83aa35801a6,1.0,-0.04939756188598951,-0.3133337439912208
OFFRE_EMPLOI,OFFRE_002517_55e64f9cc0ee,1.0000002,-0.24786986147374784,-0.14003653315573533
OFFRE_EMPLOI,OFFRE_002736_59a756c0fae6,0.9999996,-0.30290550512760317,0.07175420566677805
CANDIDAT,PPPNR2507050034571,1.0000005,0.21959220306064614,-0.07648844652663836
OFFRE_EMPLOI,OFFRE_011265_b5bd883d69af,0.99999976,-0.2107100500753707,-0.027951189348757097
CANDIDAT,PPBZV2508290040130,1.0000004,0.13103032307241372,-0.052474518419859804
METIER,http://data.europa.eu/esco/occupation/591c5063-69ce-4551-ba60-e2304111130f,1.0000006,-0.21713289236212757,-0.09364133492342044
OFFRE_EMPLOI,OFFRE_000511_21fe9d352489,0.99999934,-0.35863625624532697,0.29614364587945047
CANDIDAT,PPBZV2506060031441,1.0000002,0.4917085175583017,-0.012585908510336918
COMPETENCE,http://data.europa.eu/esco/skill/87b984b4-44cc-4fc0-bfcb-988e2e147009,1.0000001,-0.18284624082649165,-0.22341370744343483
OFFRE_EMPLOI,OFFRE_007304_c77843acf205,1.0000001,-0.4394814154574998,0.2476905307547479
CANDIDAT,PPPNR2512030053603,1.0000001,0.2617872787498616,-0.11984964018264647
COMPETENCE,http://data.europa.eu/esco/skill/d4cc5022-7801-4885-bcff-166552788d35,1.0000004,-0.24391092837774117,-0.24240163920833047
CANDIDAT,PPPNR2510220048501,0.99999994,0.08199017047694784,0.3605681424792071
CANDIDAT,PPBZV2506240033193,0.99999976,0.22396885700750233,0.19228294374193305
OFFRE_EMPLOI,OFFRE_004150_ef9298a205f2,1.0000001,-0.685580462232668,-0.006395590971684403
COMPETENCE,http://data.europa.eu/esco/skill/4c016b68-4116-468c-9dc6-42710c239e4a,1.0000005,-0.34495792178743895,0.04973604379755975
COMPETENCE,http://data.europa.eu/esco/skill/131b4258-d9bb-4b01-9202-374184fb3c07,1.0000007,-0.07140024169974495,-0.28780877343968814
CANDIDAT,PPPNR2511050050281,0.99999976,0.1355101113776918,0.32375622253064307
COMPETENCE,http://data.europa.eu/esco/skill/26fa7a33-a426-4cd5-9792-33bf668612e1,0.99999994,-0.2525756842277866,-0.1345564992960261
CANDIDAT,PPBZV2506110031783,0.99999994,0.0428362322356982,0.20735769028929943
CANDIDAT,PPPNR2511110050891,0.9999996,0.28485153433255106,-0.13821045708358584
CANDIDAT,PPPNR2505160028696,1.0000004,0.3573386684600491,-0.10816919763353115
CANDIDAT,PPBZV2501280018632,1.0000001,0.2684991576823309,0.15153556270058643
CANDIDAT,PPBZV2509090041696,0.9999999,0.20288997545009857,-0.09509848012771692
COMPETENCE,http://data.europa.eu/esco/skill/a33b3fcb-6644-4d43-966f-6acd28b44d0f,1.0000001,-0.07052094437313565,-0.21028372323382866
COMPETENCE,http://data.europa.eu/esco/skill/327ef1f5-1dd4-4cae-a82f-8a573b48e273,0.99999994,-0.09310340553355553,-0.30137424883813
CANDIDAT,PPPNR2512120055332,0.99999976,0.1116349646772992,0.3536874811099943
CANDIDAT,PPBZV2505120027971,1.0000004,0.13346050126230552,-0.0114937752812456
CANDIDAT,PPBZV2501070016186,0.9999998,0.17172038509478063,-0.0071443782681379275
OFFRE_EMPLOI,OFFRE_008577_64ff4c55586c,1.0000005,-0.46117366933927345,-0.12287012609673252
COMPETENCE,http://data.europa.eu/esco/skill/246500df-dab3-43b5-bb92-31a0c89ba8e8,0.99999976,0.014261668507973297,-0.21171279639045307
CANDIDAT,PPPNR2511130051213,0.99999994,0.24949218516821683,0.225706921170543
CANDIDAT,PPBZV2512150055463,0.9999995,0.16824547285574612,-0.1367811001564747
CANDIDAT,PPBZV2505150028615,0.99999964,0.09612179592008835,0.25994227265857867
CANDIDAT,PPBZV2506030030649,0.9999995,0.09854862958635162,0.4329645678482757
CANDIDAT,PPBZV2511040050115,1.0000004,0.07638371444572811,0.17751531540249132
METIER,http://data.europa.eu/esco/occupation/a48b9a5a-5ded-482d-8cda-7fd097a32c16,0.99999976,-0.19063108798182252,-0.0788921959817374
CANDIDAT,PPBZV2508050037822,0.99999964,0.14979777994681573,0.0752898846210279
COMPETENCE,http://data.europa.eu/esco/skill/000bb1e4-89f0-4b86-be05-05ece3641724,0.9999995,-0.11459019862609333,-0.1802198799307012
CANDIDAT,PPBZV2503080022337,1.0,0.04386582855131671,0.6051615976364437
CANDIDAT,PPBZV2512100054731,1.0000007,0.11719817293021363,-0.06220207791216365
OFFRE_EMPLOI,OFFRE_005761_9a446abe8a8b,1.0000006,-0.6947995506002757,0.160374355998977
COMPETENCE,http://data.europa.eu/esco/skill/f34ee429-b36d-49f9-a927-80b67a467cc8,0.9999999,-0.24668360103807999,-0.20959227213471263
CANDIDAT,PPPNR2501080016287,1.0000004,-0.04663724204445343,0.1428348555731079
CANDIDAT,PPBZV2501020015596,1.0000001,0.1677731730863475,-0.1741208399846522
COMPETENCE,http://data.europa.eu/esco/skill/795f25e5-7989-4e60-9be7-8b1b686a1547,0.99999946,-0.04450683771677434,-0.045063267210662554
OFFRE_EMPLOI,OFFRE_007258_83b9832a2a21,0.99999994,-0.519325604656349,-0.12387020319989679
COMPETENCE,http://data.europa.eu/esco/skill/bda0d115-f315-453e-99dc-f8b0e5862db3,0.99999994,-0.16791570874333947,0.04499469856186
CANDIDAT,PPPNR2510020046142,0.99999994,0.2501965287198975,-0.148870736735059
OFFRE_EMPLOI,OFFRE_001153_966474f1ef58,1.0000002,0.042802865087902896,-0.17766775348952962
CANDIDAT,PPBZV2511100050780,0.9999996,0.0839067164475425,0.536511326143638
COMPETENCE,http://data.europa.eu/esco/skill/dbeb3539-73c7-4be5-ada5-1d6e9657b356,0.9999996,-0.16185100586014795,-0.10852972378551727
OFFRE_EMPLOI,OFFRE_000840_a26d2cd55a96,0.9999995,-0.3105183176171692,0.18991277838252055
COMPETENCE,http://data.europa.eu/esco/skill/2111dff8-f830-46ad-80ce-7885893b3134,1.0000004,-0.21692150273764693,-0.20020777725716488
OFFRE_EMPLOI,OFFRE_000680_594ef2028ce0,0.9999993,-0.27314969475530637,0.22710752649884253
CANDIDAT,PPBZV2509130042648,1.0,0.16382792330192478,0.3806314558858419
CANDIDAT,PPBZV2506240033262,1.0000001,0.1434442927877275,-0.005924621062822725
CANDIDAT,PPBZV2504040024962,1.0000002,0.3448694612626233,-0.2626959679627287
OFFRE_EMPLOI,OFFRE_009260_21a1edada4b9,1.0,-0.21648602510152024,-0.03985667408045898
CANDIDAT,PPPNR2504010024551,1.0000001,0.22940376697782788,0.16595235004002043
OFFRE_EMPLOI,OFFRE_010997_18f1f524d610,1.0000002,-0.3952609612737706,-0.12961292177512446
CANDIDAT,PPBZV2501030015813,1.0000006,0.2317410970874161,-0.17054847082199215
OFFRE_EMPLOI,OFFRE_006372_73187c132113,0.9999998,-0.5506357195885906,-0.04354957716256364
OFFRE_EMPLOI,OFFRE_000317_d794dd984252,0.99999976,-0.1999492786534817,0.06866170072739361
CANDIDAT,PPBZV2512050054038,1.0000001,0.3518245035620629,0.03566104911276842
OFFRE_EMPLOI,OFFRE_001700_95a32e5fda97,0.9999998,-0.08806231605202065,0.024046865580210974
COMPETENCE,http://data.europa.eu/esco/skill/9bdf0ee9-ac1b-4f9b-966a-1ad39885ce26,0.9999994,-0.1653726299071694,-0.27210231598563706
OFFRE_EMPLOI,OFFRE_009496_37242452e27e,0.9999999,-0.528129100378412,-0.010266169264347178
OFFRE_EMPLOI,OFFRE_001858_d1dfcab4d1eb,0.99999994,-0.39777718567458015,-0.1807479385344821
CANDIDAT,PPPNR2508040037563,1.0000002,-0.05696267383600499,0.3531006464094332
CANDIDAT,PPPNR2510290049333,1.0000002,0.1337542984654488,0.1104517497745345
CANDIDAT,PPBZV2502210020932,1.0000001,0.1939062909807886,0.08074214003045578
CANDIDAT,PPBZV2504290026985,1.0000001,0.03474344251146064,-0.18648147639429566
CANDIDAT,PPPNR2505190029053,1.0,0.17588490694807976,0.0014145307527888386
COMPETENCE,http://data.europa.eu/esco/skill/58c080f9-71d5-429d-9476-bc9e742d460c,1.0000002,-0.03848305684934246,-0.3158333834426656
CANDIDAT,PPBZV2506240033247,1.0000006,-0.05584356704718861,0.0731990748445741
OFFRE_EMPLOI,OFFRE_001350_b091b9f35efc,0.9999995,-0.27537980667616546,0.319724992997508
CANDIDAT,PPBZV2508010037394,0.9999995,0.16824547285574612,-0.1367811001564747
COMPETENCE,http://data.europa.eu/esco/skill/8369ede5-4200-4a44-be2e-bc60ef959259,1.0000002,-0.325858275480407,0.04820942008122976
