entity_kind,entity_id,label_fr,pc1,pc2
COMPETENCE,http://data.europa.eu/esco/skill/98815e0a-0bcc-41fc-ba9a-6ec1c4e8a8a0,placer des panneaux de signalisation,-0.0775565471676792,-0.03219032312480587
COMPETENCE,http://data.europa.eu/esco/skill/2fea2558-630e-480d-9e12-47a05bc19b55,mécanique de précision,0.013442136652511904,0.016050014013595716
COMPETENCE,http://data.europa.eu/esco/skill/7df446fb-7e76-4a7e-9954-88706be77c27,surveiller la sécurité d’un parc d’attractions,-0.08508765168229897,-0.06073781003456978
COMPETENCE,http://data.europa.eu/esco/skill/ea7386d0-6437-46d6-a85f-30b35da14f6b,former des guides,-0.13040780967238258,-0.18937115288138354
COMPETENCE,http://data.europa.eu/esco/skill/284ed642-3735-4453-8a43-41ce3d7cb1fc,définir une vision artistique,-0.03682280887440687,-0.3529156508657406
COMPETENCE,http://data.europa.eu/esco/skill/45af158b-b189-43a2-9b3e-4e69c9b8d799,exiger l'excellence de la part d'artistes,-0.12086431063940897,-0.29518529619708644
COMPETENCE,http://data.europa.eu/esco/skill/15277ff0-0308-486d-aeba-359774fc6a70,participer à un entraînement sportif,-0.06189144445622732,-0.12276216060832441
COMPETENCE,http://data.europa.eu/esco/skill/86d8a19f-1694-4314-9048-8f36c227a42c,gérer des bioréacteurs,-0.2569822670038074,0.02869330702247679
COMPETENCE,http://data.europa.eu/esco/skill/70745d59-51c2-43fe-81cf-d82e9827e551,nettoyer la cage à poissons,-0.31393351535532116,-0.13877418963064475
COMPETENCE,http://data.europa.eu/esco/skill/d08c420c-d3c6-4485-af6f-f2544e9aa0ac,appliquer la gestion des risques à des activités de plein air,-0.17432575511126894,-0.2672275208834756
COMPETENCE,http://data.europa.eu/esco/skill/978a76ca-0d14-43b5-a69d-1996dfeb22de,conduire une excavatrice,-0.3333482878510593,-0.041059325617247684
COMPETENCE,http://data.europa.eu/esco/skill/3d2a1f45-5367-47d2-a15a-a8fc72a45bbc,superviser le chargement de la cargaison,-0.1307419943454901,-0.12690298511335077
COMPETENCE,http://data.europa.eu/esco/skill/6c3031c8-fac1-449a-849f-c24c5009db33,fournir des verres correcteurs,-0.008753974023045624,-0.003366607451952397
COMPETENCE,http://data.europa.eu/esco/skill/9a97c406-e9c3-4a22-8d16-74bb2fae96b5,visionner des produits de production vidéo et cinématographique,-0.1524859681557935,-0.2120407621147412
COMPETENCE,http://data.europa.eu/esco/skill/7110bf9f-b245-4adc-9159-5081013fd64d,communiquer dans le domaine des soins de santé,-0.025310963699478706,-0.08317206701155075
COMPETENCE,http://data.europa.eu/esco/skill/52272cdd-7a52-4b88-a12b-7ca442c37f99,fournir des informations de projet sur des expositions,-0.0006717370048649804,-0.29454558394061164
COMPETENCE,http://data.europa.eu/esco/skill/2691f4d8-d090-423f-afd7-9e721f562e8d,donner des conseils sur les relations publiques,0.06745087969533968,-0.1987040403321934
COMPETENCE,http://data.europa.eu/esco/skill/e574c14e-eeb2-4db7-b7ce-a1b46d98f42b,installer un contrôleur d’ascenseur,-0.12811857780450192,0.06072512692332738
COMPETENCE,http://data.europa.eu/esco/skill/81513fdf-5ea9-4375-9bc4-67ad959ac5de,contacter des clients,0.08526848507146541,-0.17078007329082098
COMPETENCE,http://data.europa.eu/esco/skill/d56e2c2f-3e01-4b76-a7bb-ecb6d430172f,penser de manière globale,0.1190783814804337,-0.19620892587742028
COMPETENCE,http://data.europa.eu/esco/skill/c267819f-35d3-45be-8354-b3b2ad7e1f04,fixer des câbles de moteur d’ascenseur,-0.15306364342546183,0.011798510588597252
COMPETENCE,http://data.europa.eu/esco/skill/c1b0bfc2-4932-4e03-9077-92bc56042511,gérer des plans d’évacuation d’urgence,-0.09183508319267636,-0.1255318818215686
COMPETENCE,http://data.europa.eu/esco/skill/87a349c4-97f3-482e-b743-57e1cb543802,mettre en place des éléments d’animation,-0.09392476718607633,-0.28232934795629455
COMPETENCE,http://data.europa.eu/esco/skill/fa7be6bf-f906-4b8e-857d-48a9a7da901c,gérer les opérations d'un entrepôt,-0.04923744087085952,0.0504157183434189
COMPETENCE,http://data.europa.eu/esco/skill/16504009-552d-46b8-bfc3-b8dcaf556c9d,superviser le fonctionnement d’une machine de découpage au jet d’eau,-0.09500805833832122,0.0017841955870719708
COMPETENCE,http://data.europa.eu/esco/skill/2a05f2e9-e9c8-48a2-8155-1d052f781805,types de polymères,-0.24252681180670418,-0.09981033044100894
COMPETENCE,http://data.europa.eu/esco/skill/3ec9208f-991d-4253-a8b2-50d538bae017,estimer des coûts de récolte,-0.04453960873742117,-0.01566792052819843
COMPETENCE,http://data.europa.eu/esco/skill/7b56814d-5617-4e9a-af69-f30e63358759,vendre des produits cosmétiques,-0.17162294902660866,-0.22329314691869454
COMPETENCE,http://data.europa.eu/esco/skill/2d1d7366-8fa4-43df-a033-cbdd337b9468,assurer la mise au point d'un projecteur,-0.09047145479398065,-0.16455319360273474
COMPETENCE,http://data.europa.eu/esco/skill/aec4c9bf-9c44-4f9d-99f1-70011cebe1a8,tester du matériel d’instrumentation,-0.12423617288444296,0.048964200216731917
COMPETENCE,http://data.europa.eu/esco/skill/0a8941cf-969c-4136-901c-cee1dae65320,tester un mélange de nitroglycérine,-0.2277261040853935,-0.13216473166301065
COMPETENCE,http://data.europa.eu/esco/skill/63819d42-0f85-4f3c-a93d-cd84686be2ec,peser la quantité de feuilles par cigare,-0.27597463610907036,-0.19272772372451566
COMPETENCE,http://data.europa.eu/esco/skill/3ed454aa-1f92-46eb-ac8a-f860265dab5e,mettre en œuvre les compétences tactiques pertinentes pour atteindre le plus haut niveau en sport,0.10479093363840447,-0.08295057149544742
COMPETENCE,http://data.europa.eu/esco/skill/f9a6f35b-01a7-40c9-8b61-b6ee46f97272,systèmes d’exploitation,0.1304782917601424,-0.13482942378619323
COMPETENCE,http://data.europa.eu/esco/skill/28cd3cc4-5b92-47e6-9534-a0e1a4981103,chirurgie d’urgence,-0.13724033344585232,-0.13572934100004977
COMPETENCE,http://data.europa.eu/esco/skill/f399a9c1-be41-4117-bf86-a64b503c4cfd,surveiller la saisie de données,-0.1382939927744889,-0.0239181702879332
COMPETENCE,http://data.europa.eu/esco/skill/a61d58b6-f6f1-4b54-8cdd-54b3bb11b69c,découper des produits métalliques,-0.1667889976441146,-0.022641710816583772
COMPETENCE,http://data.europa.eu/esco/skill/378caeec-10a0-4162-b75c-ab374a42e93d,achats électroniques,-0.13409282922031623,0.010945400742279192
COMPETENCE,http://data.europa.eu/esco/skill/8bb1e784-f54f-48dd-aedd-23723e171898,superviser la préparation d’aliments,-0.08057209690515739,-0.1912212305430843
COMPETENCE,http://data.europa.eu/esco/skill/3e6f95e3-1b00-4a72-ac5d-704c383e03de,déterminer le potentiel commercial de produits d'occasion,-0.12955512343561296,-0.21557827748644073
COMPETENCE,http://data.europa.eu/esco/skill/e2e15494-65b9-4af5-8b86-53fb51e7e022,gérer des comptes,0.19701279524619353,-0.17073078011265794
COMPETENCE,http://data.europa.eu/esco/skill/51586df8-1c46-4b47-8583-773cb63bf00b,R,0.2494143636568437,-0.04004740836587751
COMPETENCE,http://data.europa.eu/esco/skill/c0f8207c-2377-4fe2-abc4-b173cc4c31c8,tenir un demandeur de subvention informé,0.04024391300421866,-0.14831285864888394
COMPETENCE,http://data.europa.eu/esco/skill/c50bfa91-0b9d-492f-bf64-fce6e9a25c7b,inspecter des élevages de poissons,-0.2333482508504814,-0.06438778167104868
COMPETENCE,http://data.europa.eu/esco/skill/2479ac51-f43f-42d1-a912-ff000b351439,coordonner des recherches forestières,-0.1577147575032266,-0.05779128940126382
COMPETENCE,http://data.europa.eu/esco/skill/b2bdd9ad-4ecb-4ced-80c3-623686ef5328,marquer des pilules,-0.28460963173435605,-0.18573806150615346
COMPETENCE,http://data.europa.eu/esco/skill/849c8e8f-0416-4604-85af-8520d93b17f5,utiliser une raboteuse,-0.19733145017107986,-0.1923199485205457
COMPETENCE,http://data.europa.eu/esco/skill/f4bcdb75-df28-441d-a52b-9730904f36a1,exercer des droits et des responsabilités,0.051208092646058294,-0.1865477310372678
COMPETENCE,http://data.europa.eu/esco/skill/a57d3310-3d0f-4678-aa8b-88df49e74f36,utiliser un laminoir à froid,-0.26612308914720795,-0.027409199801256685
COMPETENCE,http://data.europa.eu/esco/skill/a5591b3c-c426-45af-b0fe-eac9d0f39248,créer le calendrier d’une campagne,-0.15523804311699768,-0.14567665021771775
COMPETENCE,http://data.europa.eu/esco/skill/86f1b972-fcd4-478a-9bd7-2ecbbf901e21,élaborer des programmes de travail,-0.1888392781401536,-0.19647652001018295
COMPETENCE,http://data.europa.eu/esco/skill/ef2adfe8-d7a5-465d-bbe6-8f9e913ae7ed,mettre en place une infrastructure temporaire sur un chantier de construction,-0.14050976396553094,-0.09975325090744772
COMPETENCE,http://data.europa.eu/esco/skill/25410a05-6907-4a4e-ab99-f2ace65fdfce,encrer des plaques d'impression,-0.287635546265636,-0.13327450795136553
COMPETENCE,http://data.europa.eu/esco/skill/6f55e44d-4494-4079-9b8d-01ac6912529e,biélorusse,-0.18971468647029216,-0.08089295596765296
COMPETENCE,http://data.europa.eu/esco/skill/1ba59ce0-7fec-434b-8d5c-9b275250a26c,préparer des supports de présentation,0.003919903781258615,-0.24760472961470445
COMPETENCE,http://data.europa.eu/esco/skill/090ae6b3-12ab-4c72-b98a-17b790cf416e,élaborer de nouveaux produits alimentaires,-0.05384966436386515,-0.08074408170377136
COMPETENCE,http://data.europa.eu/esco/skill/4a92d8ce-ffd6-4da5-a50e-ef1bff5cc219,programmes de sécurité sociale d'un gouvernement,0.07579182598595051,-0.051242194534652744
COMPETENCE,http://data.europa.eu/esco/skill/b4814783-3fb4-422e-b00e-1c09b5d57dde,caractéristiques des ventes aux enchères,-0.2790375056620376,-0.1518195380771
COMPETENCE,http://data.europa.eu/esco/skill/b1338cfb-930c-4bcb-b77a-1034d76ddb0e,utiliser les outils d’une boîte à outils traditionnelle,-0.27112039427480034,-0.14785678689936274
COMPETENCE,http://data.europa.eu/esco/skill/d0f930bc-a67b-4096-9df1-d2745de72518,élaborer des politiques culturelles,0.03747347912011889,-0.24001012918927409
COMPETENCE,http://data.europa.eu/esco/skill/a2b566b0-1070-47a4-adc8-88839942ce25,systèmes de commande hybrides,-0.08176944030616919,-0.07015517264581024
COMPETENCE,http://data.europa.eu/esco/skill/af7fcc0f-bdd9-40b4-9649-f22f939ca699,recommander du matériel de télécommunication à des clients,0.08133880141234444,-0.10379121736713788
COMPETENCE,http://data.europa.eu/esco/skill/5641a2af-9eb2-4209-9fc6-856f78f2d2f2,législation sur la pollution,-0.07662509639191362,0.012365959430634397
